,precision,recall,f1-score,support
0,0.9997010673653485,0.9997889701744513,0.9997450168376812,56864.0
1,0.8709677419354839,0.826530612244898,0.8481675392670157,98.0
accuracy,0.9994908886626171,0.9994908886626171,0.9994908886626171,0.9994908886626171
macro avg,0.9353344046504162,0.9131597912096747,0.9239562780523485,56962.0
weighted avg,0.9994795887323629,0.9994908886626171,0.9994842360925893,56962.0
