,precision,recall,f1-score,support
0,0.9997711066114975,0.9985579628587508,0.9991641664980336,56864.0
1,0.5089820359281437,0.8673469387755102,0.6415094339622641,98.0
accuracy,0.9983322214809873,0.9983322214809873,0.9983322214809873,0.9983322214809873
macro avg,0.7543765712698206,0.9329524508171305,0.8203368002301489,56962.0
weighted avg,0.9989267309061682,0.9983322214809873,0.9985488411269352,56962.0
