,precision,recall,f1-score,support
0,0.9998554991600889,0.9734629994372538,0.9864827537045453,56864.0
1,0.05628517823639775,0.9183673469387755,0.1060695344725987,98.0
accuracy,0.9733682103858713,0.9733682103858713,0.9733682103858713,0.9733682103858713
macro avg,0.5280703386982433,0.9459151731880147,0.546276144088572,56962.0
weighted avg,0.9982321381220193,0.9733682103858713,0.984968050999501,56962.0
