iter	Logloss
0	0.5241906855
1	0.385340178
2	0.2883266084
3	0.2373705221
4	0.2076035325
5	0.1816175647
6	0.1667755444
7	0.1486722688
8	0.1340033317
9	0.1275292241
10	0.1179938731
11	0.1118167805
12	0.104765458
13	0.09990862833
14	0.09541870613
15	0.09164399512
16	0.08862759941
17	0.08639069658
18	0.08399636262
19	0.08162809269
20	0.07936798321
21	0.07721036434
22	0.07483965509
23	0.07212726467
24	0.06995403798
25	0.06806683081
26	0.06631349989
27	0.06434597335
28	0.06272269496
29	0.06165035134
30	0.05959994823
31	0.05847345944
32	0.05690685031
33	0.05587121995
34	0.05475004481
35	0.05372502643
36	0.05245414274
37	0.05103428811
38	0.04998322257
39	0.04904235208
40	0.0477803594
41	0.04693988244
42	0.04560649918
43	0.04478239608
44	0.04361229888
45	0.04289555022
46	0.04215939443
47	0.04176032634
48	0.0412006792
49	0.04042489638
50	0.03942476118
51	0.03885400884
52	0.03844019787
53	0.03779093951
54	0.03707684826
55	0.03639814259
56	0.03570454787
57	0.03492417403
58	0.03419562861
59	0.03352680259
60	0.03275395593
61	0.03238697532
62	0.03180712953
63	0.03142014049
64	0.03062152161
65	0.03038149917
66	0.02971738789
67	0.0292120035
68	0.0286965084
69	0.02819122141
70	0.02778767511
71	0.02738672433
72	0.02704143291
73	0.02635323653
74	0.02597617513
75	0.02554258273
76	0.02508045348
77	0.02456207022
78	0.02426967535
79	0.02398847253
80	0.02371691665
81	0.02346850448
82	0.02313136227
83	0.02282614412
84	0.02240239831
85	0.02202986222
86	0.02170871557
87	0.02143697932
88	0.02121125446
89	0.0208524508
90	0.02044750385
91	0.02011112849
92	0.01988598845
93	0.01959243432
94	0.0192715139
95	0.01898967029
96	0.01874442777
97	0.01856371958
98	0.01827900011
99	0.01806535968
